date,close,imp30,imp60,imp90,imp120
12/12/2012,76.9671,35.96,37.89,36.835,35.403
12/13/2012,75.67,37.8,39.658,37.942,36.001
12/14/2012,72.71,40.18,42.421,40.54,37.632
12/17/2012,74.1671,41,43.211,40.573,37.701
12/18/2012,76.2857,37.6,40.412,38.238,36.035
12/19/2012,75.1571,37.34,39.756,37.625,35.71
12/20/2012,74.5686,36.08,38.982,36.813,35.052
12/21/2012,74.19,35.98,38.873,36.463,34.685
12/24/2012,74.28,36.4,38.819,36.574,34.817
12/26/2012,73.3,36.08,38.542,36.502,34.785
12/27/2012,73.58,37.31,38.684,36.526,34.888
12/28/2012,72.7729,38.4,39.186,36.896,34.958
12/31/2012,76.1471,37.72,38.283,36.276,34.36
1/2/2013,78.4329,35.3,36.058,34.702,33.234
1/3/2013,77.4914,33.58,35.196,33.979,32.687
1/4/2013,75.2886,34.25,35.929,34.445,32.886
1/7/2013,74.88,35.99,36.438,34.833,32.867
1/8/2013,75.03,37.74,35.296,33.636,32.14
1/9/2013,73.8714,37.67,35.033,33.417,32.055
1/10/2013,74.8114,39.55,36.386,34.461,32.9
1/11/2013,74.3286,39.09,35.687,33.882,32.577
1/14/2013,71.6786,40.42,36.114,34.35,33.115
1/15/2013,69.4171,42.82,37.654,35.58,34.022
1/16/2013,72.2986,42.13,36.348,34.29,32.771
1/17/2013,71.8114,41.43,35.324,33.395,31.937
1/18/2013,71.4286,41.14,34.997,32.679,30.755
1/22/2013,72.11,42.58,35.361,32.749,30.226
1/23/2013,73.4529,42.82,35.467,32.966,30.184
1/24/2013,64.3529,30.68,28.918,28.459,28.109
1/25/2013,62.84,31.11,29.227,28.861,27.958
1/28/2013,64.2214,29.7,28.449,28.423,27.773
1/29/2013,65.4671,27.59,26.89,27.547,27.317
1/30/2013,65.2614,26.5,26.274,27.151,27.161
1/31/2013,65.0443,24.86,25.158,26.019,26.2
2/1/2013,64.8186,25.07,24.949,25.812,25.827
2/4/2013,63.1729,27.55,26.708,27.52,27.043
2/5/2013,65.41,25.97,26.041,27.06,26.606
2/6/2013,65.3357,27.17,27.041,28.065,27.612
2/7/2013,66.8929,27.8,27.58,28.81,28.227
2/8/2013,67.8543,27.51,27.055,28.234,27.555
2/11/2013,68.5614,29.18,28.03,29.238,28.08
2/12/2013,66.8343,29.05,28.002,29.389,28.045
2/13/2013,66.7157,29,28.216,29.713,28.147
2/14/2013,66.6557,27.44,27.05,28.808,27.357
2/15/2013,65.75,26.17,26.095,28.306,27.137
2/19/2013,65.7129,27.6,27.089,28.85,27.308
2/20/2013,64.1529,28.28,27.714,29.03,27.664
2/21/2013,63.7243,29.16,28.363,29.679,28.384
2/22/2013,64.4014,27.85,27.573,28.942,28.065
2/25/2013,63.2571,29.2,28.574,29.684,28.673
2/26/2013,64.1286,30.16,29.086,29.69,28.849
2/27/2013,63.51,28.43,28.301,29.087,28.291
2/28/2013,63.0571,27.38,27.7,28.55,27.927
3/1/2013,61.5014,29.89,29.392,29.935,29.185
3/4/2013,60.0071,32.83,31.889,31.955,30.659
3/5/2013,61.5957,29.61,30.696,30.972,29.893
3/6/2013,60.8071,29.85,31.489,31.866,30.28
3/7/2013,61.4857,29.67,31.363,31.635,30.189
3/8/2013,61.6743,29.2,31.157,31.451,30.067
3/11/2013,62.5529,29.05,31.332,31.105,29.773
3/12/2013,61.2043,29.81,32.075,31.415,30.039
3/13/2013,61.1929,28.68,31.51,30.75,29.607
3/14/2013,61.7757,28.28,31.191,30.126,28.801
3/15/2013,63.4071,27.8,31.192,30.059,28.957
3/18/2013,65.1029,28.42,32.13,30.093,29.102
3/19/2013,64.9271,27.83,31.919,29.816,29.005
3/20/2013,64.5829,27.55,31.61,29.606,29.06
3/21/2013,64.6757,27.26,31.187,29.467,29.143
3/22/2013,65.9757,26.48,30.456,28.672,28.546
3/25/2013,66.2257,26.98,30.208,28.495,28.383
3/26/2013,65.8686,25.28,29.514,27.774,27.9
3/27/2013,64.5829,26.38,30.674,28.963,28.757
3/28/2013,63.2329,27.5,31.298,29.38,28.938
4/1/2013,61.2729,32.04,33.516,31.085,30.103
4/2/2013,61.4143,31.8,33.869,31.438,30.475
4/3/2013,61.6929,31.43,33.691,31.19,30.304
4/4/2013,61.1029,32.02,33.709,31.223,30.596
4/5/2013,60.4529,33.51,35.006,32.328,31.428
4/8/2013,60.8871,34.78,34.954,32.405,31.405
4/9/2013,60.9971,36.69,33.884,31.522,30.878
4/10/2013,62.2414,35.59,32.856,30.756,30.457
4/11/2013,62.0571,35.18,32.439,30.477,30.395
4/12/2013,61.4,34.8,31.679,29.755,29.74
4/15/2013,59.9786,37.49,33.254,31.055,30.836
4/16/2013,60.8914,36.64,32.42,30.331,30.214
4/17/2013,57.5429,43.46,36.629,33.813,32.798
4/18/2013,55.9943,43.97,37.538,34.586,33.78
